Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
Vampire;Fire;234,679;333;Alchemist;78;215,747;41,220;7,755;25,405;119;2,750;79;80;0;0;Ego Sword + 20, SSS (20);Sun Armor + 20, SSS (20), Water gem lv 15;Sun Gloves + 20, SSS (20), Neutral gem lv 14;Volcano;Yes;Yes;;Yes;
Mermaid;Water;376,613;203;Supporter;51;22,407;1,961;1,407;3,623;692;0;0;-53;0;0;none;none;none;Questing, Creature In Other Universe;Yes;;;No;
Monk;Neutral;321,872;1;Blacksmith;100;442;38;20;4;84;248;84;289;0;0;Titanium Sword + 20, SSS (20);Inferno Armor + 20, SSS (20), Water gem lv 12;Forest Bracelet + 20, SSS (20), Neutral gem lv 13;Dojo;Yes;;;No;
HoneyBadger;Earth;41,000;1;None;0;82;8;4;8;0;0;-53;56;0;0;none;none;none;      ;;;;No;
PackMule;Neutral;638,217;82;Mage;64;8,314;3,761;332;1,970;146;65;65;65;0;0;Ego Sword + 20, SSS (20);none;none;Questing, Mage Training;Yes;;;Yes;
AnniCake;Earth;468,026;1;Adventurer;53;285;34;11;22;82;0;-53;56;0;0;Ego Sword + 20, SSS (20);none;none;Food;Yes;;;Yes;
Llysnafedda;Water;636,239;1;Adventurer;71;283;28;14;28;56;0;0;-53;0;0;none;none;none;Questing, Mage Training;Yes;;;Yes;
HwangeumPig;Earth;6,944;1;None;0;70;7;4;7;0;0;-53;56;0;0;none;none;none;      ;;;;No;
Student;Earth;41,500;1;None;0;74;7;4;7;0;0;-53;4;0;0;none;none;none;      ;;;;No;
Lamb;Earth;145,259;1;Alchemist;52;93;12;5;13;0;0;-53;56;0;0;none;none;none;Alchemist Hut, producing Nothing;Yes;;;No;
Simulacrum;Wind;22,069;1;None;0;75;8;4;7;0;-53;56;0;0;0;none;none;none;      ;;;;No;
Arachne;Wind;22,222;1;None;0;75;8;4;7;0;-53;56;0;0;0;none;none;none;      ;;;;No;
PixieGoat;Wind;144,085;1;None;0;116;12;6;12;0;-53;56;0;0;0;none;none;none;Divinity;Yes;;;Yes;
FaintingCapra;Water;15,000;1;None;0;73;7;4;7;56;0;0;-53;0;0;none;none;none;      ;;;;No;
Wolpertinger;Wind;180,336;1;Alchemist;50;103;13;5;14;0;-53;56;0;0;0;none;none;none;Tavern;Yes;;;No;
Skeleton;Neutral;6,666;1;None;0;70;7;4;7;1;1;1;1;0;0;none;none;none;      ;;;;No;
Dorgegebelle;Water;-10,800;1;None;0;64;6;3;6;56;0;0;-53;0;0;none;none;none;      ;;;;No;
Baphomate;Neutral;0;1;None;0;68;7;3;7;1;1;1;1;0;0;none;none;none;      ;;;;No;
